,global_rmsd,chromophore_rmsd,ptm,iptm,ranking_score,fraction_disordered,mean_plddt,min_plddt,chromophore_mean_plddt,mean_pae,interface_pae
global_rmsd,1.0,0.371382439665446,0.7229422695648757,0.24132985057248602,0.7190972080169962,0.05329885626711203,-0.5542023000270967,-0.2674614156397493,-0.5894629933156105,-0.6982541887597331,-0.3802936675586562
chromophore_rmsd,0.371382439665446,1.0,0.6865073414422923,-0.23486892792046535,0.7469930544827296,0.16063793565111922,-0.5716926355828389,-0.09260115966411316,-0.6384462772440772,-0.6597342410735252,0.36493960290678834
ptm,0.7229422695648757,0.6865073414422923,1.0,0.3201352345645545,0.9227634249454058,0.0059515844377853715,-0.6598890661201523,-0.19285203615701133,-0.7494922622814311,-0.9507276393121558,-0.7940314862550709
iptm,0.24132985057248602,-0.23486892792046535,0.3201352345645545,1.0,0.8380974235118214,-0.14876547731615666,0.5207635265044067,0.28507702011602176,-0.006759184979180475,-0.5315869784004846,-0.5161633900815568
ranking_score,0.7190972080169962,0.7469930544827296,0.9227634249454058,0.8380974235118214,1.0,0.1901349454054819,-0.7785235265447088,-0.18490016276668117,-0.8674991511879814,-0.8780814766241193,-0.4437427649445681
fraction_disordered,0.05329885626711203,0.16063793565111922,0.0059515844377853715,-0.14876547731615666,0.1901349454054819,1.0,-0.1728404109164916,-0.23599429185494417,-0.20434524974988166,0.0495413188204191,0.14069238881027984
mean_plddt,-0.5542023000270967,-0.5716926355828389,-0.6598890661201523,0.5207635265044067,-0.7785235265447088,-0.1728404109164916,1.0,0.3143627336548219,0.7811472510824844,0.543532866446278,-0.5382558991250102
min_plddt,-0.2674614156397493,-0.09260115966411316,-0.19285203615701133,0.28507702011602176,-0.18490016276668117,-0.23599429185494417,0.3143627336548219,1.0,0.10040515573287802,0.13076424813313858,0.0071920958544239594
chromophore_mean_plddt,-0.5894629933156105,-0.6384462772440772,-0.7494922622814311,-0.006759184979180475,-0.8674991511879814,-0.20434524974988166,0.7811472510824844,0.10040515573287802,1.0,0.6746194332244627,-0.2343355481990241
mean_pae,-0.6982541887597331,-0.6597342410735252,-0.9507276393121558,-0.5315869784004846,-0.8780814766241193,0.0495413188204191,0.543532866446278,0.13076424813313858,0.6746194332244627,1.0,0.9251605222264161
interface_pae,-0.3802936675586562,0.36493960290678834,-0.7940314862550709,-0.5161633900815568,-0.4437427649445681,0.14069238881027984,-0.5382558991250102,0.0071920958544239594,-0.2343355481990241,0.9251605222264161,1.0
